attempt_id	circuit	stage	run_id	run_id_source	mode	wall_s	user_s	system_s	rss_kb	exit	source_log	source_log_sha256	config_key	config_key_source	retry_index	parse_status	duplicate_run_id	ambiguity_reason
attempt_517b4132e98acb5c0f72	b20	01_single_boundaries	b20_cov95v2_single_F_p1	log_marker	F	9.450	4.82	1.24	342440	0	10_circuits/b20/10_coverage95_phase4_v2/01_single_boundaries/F_b20_cov95v2_single_F_p1.driver.log	54693087749a734f8a2a1504e697ba45e9ab9a09a605f22068b66983ae1e0386	b20_cov95v2_single_F_p1	run_id	0	PASS		
attempt_4fea30de8a21299d1e60	b20	01_single_boundaries	b20_cov95v2_single_F_p104	log_marker	F	9.490	6.35	1.30	353900	0	10_circuits/b20/10_coverage95_phase4_v2/01_single_boundaries/F_b20_cov95v2_single_F_p104.driver.log	c265df1450c10affd78db4778a9cd45685ed994bfcf53e0b1792c01944f4bb39	b20_cov95v2_single_F_p104	run_id	0	PASS		
attempt_173e01eed7a989dd7a27	b20	01_single_boundaries	b20_cov95v2_single_F_p124	log_marker	F	9.790	6.65	1.35	353224	0	10_circuits/b20/10_coverage95_phase4_v2/01_single_boundaries/F_b20_cov95v2_single_F_p124.driver.log	94730836479968f7d0a7e44230dfa1c648193d8870d9a32bc012cafd8c332d63	b20_cov95v2_single_F_p124	run_id	0	PASS		
attempt_874e2668ddf968a34aec	b20	01_single_boundaries	b20_cov95v2_single_F_p145	log_marker	F	10.790	8.20	1.67	355780	0	10_circuits/b20/10_coverage95_phase4_v2/01_single_boundaries/F_b20_cov95v2_single_F_p145.driver.log	126202477efbfacbd0622942f269e081e78258b2bf4feb5620ba3f428e6c86b9	b20_cov95v2_single_F_p145	run_id	0	PASS		
attempt_0f65c6dbe299da5d0a5c	b20	01_single_boundaries	b20_cov95v2_single_F_p146	log_marker	F	10.170	7.56	1.44	353724	0	10_circuits/b20/10_coverage95_phase4_v2/01_single_boundaries/F_b20_cov95v2_single_F_p146.driver.log	76e07e2508990a62d4fd9f3e6f5dfd3ede4f274359aa7399757c71f70c26027f	b20_cov95v2_single_F_p146	run_id	0	PASS		
attempt_8d441468dee4fecb30fe	b20	01_single_boundaries	b20_cov95v2_single_F_p147	log_marker	F	10.460	7.68	1.46	355000	0	10_circuits/b20/10_coverage95_phase4_v2/01_single_boundaries/F_b20_cov95v2_single_F_p147.driver.log	30d8dd0c57bf8dcbcdb128793eee38060231af86e7433584888027bf61a3544f	b20_cov95v2_single_F_p147	run_id	0	PASS		
attempt_1b68923dd190db7d8dad	b20	01_single_boundaries	b20_cov95v2_single_F_p148	log_marker	F	10.000	7.29	1.35	353536	0	10_circuits/b20/10_coverage95_phase4_v2/01_single_boundaries/F_b20_cov95v2_single_F_p148.driver.log	957e65f7346837db0e51d733f5621f92678cc48b863f2fa30bf0deb5841ebd2e	b20_cov95v2_single_F_p148	run_id	0	PASS		
attempt_f799aa0fe5d5334ebe8a	b20	01_single_boundaries	b20_cov95v2_single_F_p149	log_marker	F	10.240	7.44	1.42	355336	0	10_circuits/b20/10_coverage95_phase4_v2/01_single_boundaries/F_b20_cov95v2_single_F_p149.driver.log	bedd6f17275d835b608130b8e4c4208205eaaa217bcb165ad0531409e303068b	b20_cov95v2_single_F_p149	run_id	0	PASS		
attempt_e77786659ccae00b1a26	b20	01_single_boundaries	b20_cov95v2_single_F_p150	log_marker	F	10.540	7.96	1.56	356856	0	10_circuits/b20/10_coverage95_phase4_v2/01_single_boundaries/F_b20_cov95v2_single_F_p150.driver.log	db6a86635ced4a27cacef4f2d2de61e2898aa4dc7e0e64da1da07b9a734864ee	b20_cov95v2_single_F_p150	run_id	0	PASS		
attempt_059b0a43129a53982293	b20	01_single_boundaries	b20_cov95v2_single_F_p151	log_marker	F	10.570	7.87	1.64	353080	0	10_circuits/b20/10_coverage95_phase4_v2/01_single_boundaries/F_b20_cov95v2_single_F_p151.driver.log	3d973e6d79ace989597cda7defa4d5799dcbedd4191ef28083c69fcccfb7615b	b20_cov95v2_single_F_p151	run_id	0	PASS		
attempt_08d77eafde64da44b84f	b20	01_single_boundaries	b20_cov95v2_single_F_p152	log_marker	F	10.760	8.27	1.57	353132	0	10_circuits/b20/10_coverage95_phase4_v2/01_single_boundaries/F_b20_cov95v2_single_F_p152.driver.log	521ee2339a4e8478e374cd46e31d5b5c227147d7a772d5a0eedd2659d1262a42	b20_cov95v2_single_F_p152	run_id	0	PASS		
attempt_af89e815b3356b41b246	b20	01_single_boundaries	b20_cov95v2_single_F_p153	log_marker	F	10.800	7.86	1.51	355380	0	10_circuits/b20/10_coverage95_phase4_v2/01_single_boundaries/F_b20_cov95v2_single_F_p153.driver.log	42c0053e8c8af445f7baa8df2c7752621a40b958eacaf6774de53ec3c553bf1a	b20_cov95v2_single_F_p153	run_id	0	PASS		
