action_uid	circuit	action_scheme	mode_stack	h_patterns	m_patterns	repeat_measurement_count	source_candidate_uids	source_stages	outcome_conflict	outcome_conflict_fields
aes_core:HF:h1	aes_core	HF	H64-F4	1		1	aes_core:hf_coarse:H64-F4:1	hf_coarse	false	
aes_core:HF:h119	aes_core	HF	H64-F4	119		2	aes_core:hf_coarse:H64-F4:4|aes_core:hf_refine:H64-F4:22	hf_coarse|hf_refine	false	
aes_core:HF:h139	aes_core	HF	H64-F4	139		1	aes_core:hf_refine:H64-F4:41	hf_refine	false	
aes_core:HF:h159	aes_core	HF	H64-F4	159		2	aes_core:hf_coarse:H64-F4:5|aes_core:hf_refine:H64-F4:23	hf_coarse|hf_refine	false	
aes_core:HF:h169	aes_core	HF	H64-F4	169		1	aes_core:hf_refine:H64-F4:42	hf_refine	false	
aes_core:HF:h179	aes_core	HF	H64-F4	179		1	aes_core:hf_refine:H64-F4:25	hf_refine	false	
aes_core:HF:h184	aes_core	HF	H64-F4	184		1	aes_core:hf_refine:H64-F4:44	hf_refine	false	
aes_core:HF:h186	aes_core	HF	H64-F4	186		1	aes_core:hf_refine:H64-F4:51	hf_refine	false	
aes_core:HF:h189	aes_core	HF	H64-F4	189		1	aes_core:hf_refine:H64-F4:43	hf_refine	false	
aes_core:HF:h191	aes_core	HF	H64-F4	191		1	aes_core:hf_refine:H64-F4:46	hf_refine	false	
aes_core:HF:h192	aes_core	HF	H64-F4	192		1	aes_core:hf_refine:H64-F4:48	hf_refine	false	
aes_core:HF:h194	aes_core	HF	H64-F4	194		1	aes_core:hf_refine:H64-F4:45	hf_refine	false	
aes_core:HF:h195	aes_core	HF	H64-F4	195		1	aes_core:hf_refine:H64-F4:50	hf_refine	false	
aes_core:HF:h196	aes_core	HF	H64-F4	196		1	aes_core:hf_refine:H64-F4:49	hf_refine	false	
aes_core:HF:h197	aes_core	HF	H64-F4	197		1	aes_core:hf_refine:H64-F4:47	hf_refine	false	
aes_core:HF:h198	aes_core	HF	H64-F4	198		1	aes_core:hf_refine:H64-F4:20	hf_refine	false	
aes_core:HF:h199	aes_core	HF	H64-F4	199		2	aes_core:hf_coarse:H64-F4:6|aes_core:hf_refine:H64-F4:24	hf_coarse|hf_refine	false	
aes_core:HF:h201	aes_core	HF	H64-F4	201		1	aes_core:hf_refine:H64-F4:52	hf_refine	false	
aes_core:HF:h206	aes_core	HF	H64-F4	206		1	aes_core:hf_refine:H64-F4:53	hf_refine	false	
aes_core:HF:h209	aes_core	HF	H64-F4	209		1	aes_core:hf_refine:H64-F4:27	hf_refine	false	
aes_core:HF:h219	aes_core	HF	H64-F4	219		1	aes_core:hf_refine:H64-F4:26	hf_refine	false	
aes_core:HF:h224	aes_core	HF	H64-F4	224		1	aes_core:hf_refine:H64-F4:29	hf_refine	false	
aes_core:HF:h228	aes_core	HF	H64-F4	228		1	aes_core:hf_refine:H64-F4:36	hf_refine	false	
aes_core:HF:h229	aes_core	HF	H64-F4	229		1	aes_core:hf_refine:H64-F4:28	hf_refine	false	
aes_core:HF:h231	aes_core	HF	H64-F4	231		1	aes_core:hf_refine:H64-F4:31	hf_refine	false	
aes_core:HF:h233	aes_core	HF	H64-F4	233		1	aes_core:hf_refine:H64-F4:37	hf_refine	false	
aes_core:HF:h234	aes_core	HF	H64-F4	234		1	aes_core:hf_refine:H64-F4:30	hf_refine	false	
aes_core:HF:h235	aes_core	HF	H64-F4	235		1	aes_core:hf_refine:H64-F4:33	hf_refine	false	
aes_core:HF:h237	aes_core	HF	H64-F4	237		1	aes_core:hf_refine:H64-F4:32	hf_refine	false	
