model	test_family	test_circuit	candidate_rows	measured_feasible_candidate_rows	mae_cycles	rmse_cycles	oracle_uid	oracle_scheme	oracle_cycles	single_baseline_cycles	single_baseline_scheme	safe_anchor_uid	safe_anchor_scheme	selection_action	selection_reason	selected_action_uid	predicted_best_uid	predicted_best_scheme	predicted_best_actual_cycles	predicted_best_feasible_probability	feasibility_gate_fallback	feasibility_gate_kind	feasibility_gate_identifiable	feasibility_gate_train_rows	feasibility_gate_train_negative_rows	predicted_best_detected_faults	d95	d95_feasible	unsafe_combo_selection	beats_single_baseline	oracle_can_beat_single	opportunity_captured	saved_cycles_vs_single	gain_vs_single_percent	fallback_gain_vs_single_percent	regret_percent	exact_candidate	correct_scheme	validation_family	best_validation_loss
xgboost_scalar	iscas89_s13207	s13207	667	667	12661.820998279409	12675.733563824944	fixed:3a262e8013a897f919cb3c3c	H64-M16-F4	3220	9983	FullScan-F4	fixed:aae71c42f273f42c853b3ab9	FullScan-F4	candidate	MODEL_CANDIDATE	fixed:24aab4e5a6db989c72ccd12f	fixed:24aab4e5a6db989c72ccd12f	H64-M16-F4	4193	0.9998940229415894	0	xgboost_classifier	1	10500	1	13150	13120	1	0	1	1	1	5790	57.99859761594711	57.99859761594711	30.217391304347824	0	1		
xgboost_scalar	iscas89_s15850	s15850	730	730	973.7010622453199	1228.7316491217357	fixed:76e2985684609b62055c18ea	H64-M16-F4	2558	7021	FullScan-F4	fixed:bf42094d01c9de062d3eb684	FullScan-F4	candidate	MODEL_CANDIDATE	fixed:a5484c5468f777a2f8faf443	fixed:a5484c5468f777a2f8faf443	H64-F4	3678	0.9993624091148376	0	xgboost_classifier	1	10437	1	15287	15267	1	0	1	1	1	3343	47.614299957271044	47.614299957271044	43.78420641125879	0	0		
xgboost_scalar	iscas89_s35932	s35932	426	426	6855.885636915693	7233.548899186211	fixed:a77e37ce83c811088324a1ca	H64-F4	1505	1505	ComScan-H64	fixed:8f84fd3c98f7a5408dcfbdbb	FullScan-F4	candidate	MODEL_CANDIDATE	fixed:32c81ef4a8eeecde49b9d6c7	fixed:32c81ef4a8eeecde49b9d6c7	H64-M16-F4	2723	0.9998949766159058	0	xgboost_classifier	1	10741	1	41968	41236	1	0	0	0	0	-1218	-80.93023255813954	0.0	80.93023255813954	0	0		
xgboost_scalar	iscas89_s38417	s38417	720	720	5145.3590170266725	5316.461524104019	fixed:84bc635c1eeafd8d8245b030	H64-M16-F4	4892	5709	ComScan-H64	fixed:17e8570041a1a8d8319f0b8c	FullScan-F4	candidate	MODEL_CANDIDATE	fixed:18b2392324349dac3b35ba9e	fixed:18b2392324349dac3b35ba9e	H64-M16-F4	7426	0.9998958110809326	0	xgboost_classifier	1	10447	1	41469	40421	1	0	0	1	0	-1717	-30.075319670695393	0.0	51.7988552739166	0	1		
xgboost_scalar	iscas89_s38584	s38584	721	721	2374.0039852665795	2908.52254308522	fixed:7140c3e7d7e9ca3300b1517c	H64-M16-F4	5436	6060	ComScan-H64	fixed:84c3c7bc71b28085819605ae	FullScan-F4	candidate	MODEL_CANDIDATE	fixed:104c5fef77e8be28c4ac0ce2	fixed:104c5fef77e8be28c4ac0ce2	H64-M16-F4	7181	0.9998956918716431	0	xgboost_classifier	1	10446	1	53040	52938	1	0	0	1	0	-1121	-18.4983498349835	0.0	32.10080941869021	0	1		
xgboost_scalar	iscas89_s5378	s5378	703	703	255.05897348356112	332.08351352839895	fixed:52a53ce2857438dcfa16e702	H64-M16-F4	1905	2915	FullScan-F4	fixed:e7c1edb976b7c482efeabc6d	FullScan-F4	candidate	MODEL_CANDIDATE	fixed:3bab8344da7ca2487c8fe6c4	fixed:3bab8344da7ca2487c8fe6c4	H64-M16-F4	2188	0.9998949766159058	0	xgboost_classifier	1	10464	1	5553	5543	1	0	1	1	1	727	24.939965694682677	24.939965694682677	14.855643044619423	0	1		
xgboost_scalar	iscas89_s9234	s9234	736	736	401.5503220771966	463.72182887268656	fixed:f4525b035e88d7ea4a71262a	H64-M16-F4	2744	4126	FullScan-F4	fixed:0509ce7b4f947ed973c3afef	FullScan-F4	candidate	MODEL_CANDIDATE	fixed:e00b391959ce8e2f8b4b84ee	fixed:e00b391959ce8e2f8b4b84ee	H64-M16-F4	2940	0.9998956918716431	0	xgboost_classifier	1	10431	1	7186	7171	1	0	1	1	1	1186	28.74454677653902	28.74454677653902	7.142857142857142	0	1		
xgboost_scalar	itc99_b14_connected	b18	757	757	10863.02144629464	16499.17592543804	fixed:e1e452af59b3939dca863bf9	H64-M16-F4	26353	28673	ComScan-H64	fixed:dfe7138bca9da93eea039dd3	FullScan-F4	single_baseline	ABSTAIN_SINGLE_CLASS	fixed:dfe7138bca9da93eea039dd3		FullScan-F4	399111		1	unidentifiable_single_class	0	7794	0	233760	230387	1	0	0	1	0	0	0.0	0.0	1414.4803248207036	0	0		
xgboost_scalar	itc99_b14_connected	b20	837	837	3462.9976999669057	4296.850669192425	fixed:a756b897ff3f2b333c89ebc4	H64-M16-F4	6805	17427	FullScan-F4	fixed:80efcdf332a6a67ed5de9b04	FullScan-F4	single_baseline	ABSTAIN_SINGLE_CLASS	fixed:80efcdf332a6a67ed5de9b04		FullScan-F4	46065		1	unidentifiable_single_class	0	7794	0	45242	44063	1	0	0	1	0	0	0.0	0.0	576.9287288758266	0	0		
xgboost_scalar	itc99_b14_connected	b21	900	899	3959.6062641460053	4717.263375818549	fixed:be7247d28bd3c354a159b9ad	H64-M16-F4	8173	20979	FullScan-F4	fixed:d96a4634cea9802d8b933dee	FullScan-F4	single_baseline	ABSTAIN_SINGLE_CLASS	fixed:d96a4634cea9802d8b933dee		FullScan-F4	50172		1	unidentifiable_single_class	0	7794	0	46573	45513	1	0	0	1	0	0	0.0	0.0	513.8749541172152	0	0		
