model	test_family	family_circuits	family_win_rate	family_d95_rate	family_mean_gain_percent	family_mean_regret_percent
graphsage	iscas89_s13207	1	1.0	1.0	53.07021937293399	45.49689440993789
graphsage	iscas89_s15850	1	0.0	1.0	-0.911551061102407	176.9741985926505
graphsage	iscas89_s35932	1	0.0	1.0	-225.64784053156149	225.64784053156149
graphsage	iscas89_s38417	1	0.0	1.0	-183.5522858644246	230.90760425183973
graphsage	iscas89_s38584	1	0.0	1.0	-320.5115511551155	368.7821927888153
graphsage	iscas89_s5378	1	0.0	1.0	-9.708404802744425	67.8740157480315
graphsage	iscas89_s9234	1	0.0	1.0	-8.482792050412021	63.11953352769679
graphsage	itc99_b14_connected	4	0.0	1.0	0.0	830.0252194895074
graphsage	iwls_aes_core	1	0.0	1.0	-253.45578711880373	299.5607613469985
graphsage	iwls_spi	1	1.0	1.0	5.9375	8.476612358285157
graphsage	iwls_tv80	1	1.0	1.0	2.841110156210505	174.7926794395196
graphsage	iwls_wb_dma	1	1.0	1.0	7.602611940298508	235.76271186440678
xgboost_scalar	iscas89_s13207	1	1.0	1.0	57.99859761594711	30.217391304347824
xgboost_scalar	iscas89_s15850	1	1.0	1.0	47.614299957271044	43.78420641125879
xgboost_scalar	iscas89_s35932	1	0.0	1.0	-2.7242524916943522	2.7242524916943522
xgboost_scalar	iscas89_s38417	1	0.0	1.0	-13.189700472937469	32.093213409648406
xgboost_scalar	iscas89_s38584	1	0.0	1.0	-5.082508250825082	17.14495952906549
xgboost_scalar	iscas89_s5378	1	1.0	1.0	23.430531732418526	17.165354330708663
xgboost_scalar	iscas89_s9234	1	1.0	1.0	26.442074648570042	10.604956268221574
xgboost_scalar	itc99_b14_connected	4	0.0	1.0	0.0	830.0252194895074
xgboost_scalar	iwls_aes_core	1	0.0	1.0	-9.725656422936536	24.038333555171036
xgboost_scalar	iwls_spi	1	1.0	1.0	6.302083333333333	8.05616037240033
xgboost_scalar	iwls_tv80	1	1.0	1.0	41.21126333350185	66.27108950529025
xgboost_scalar	iwls_wb_dma	1	1.0	1.0	57.78917910447762	53.38983050847458
